Batch,Loss,Logits,Predicted Class,Ground Truth
4,0.05166490003466606,[2.937033],[1],[1.]
4,0.0001544952392578125,[-8.773508],[0],[0.]
4,0.01778905652463436,[4.020264],[1],[1.]
4,0.0031642047688364983,[5.754271],[1],[1.]
4,0.06219792366027832,[-2.7461746],[0],[0.]
4,0.004492759704589844,[-5.403041],[0],[0.]
4,0.0013599395751953125,[-6.5995455],[0],[0.]
4,0.053118228912353516,[-2.908558],[0],[0.]
5,0.01404571533203125,[-4.258401],[0],[0.]
5,0.005369825754314661,[5.2242737],[1],[1.]
5,4.76837158203125e-06,[-12.263999],[0],[0.]
5,0.013582706451416016,[-4.29215],[0],[0.]
5,0.0025625228881835938,[-5.9655495],[0],[0.]
5,0.01626877672970295,[4.110362],[1],[1.]
5,0.010966857895255089,[4.507389],[1],[1.]
5,0.5760395526885986,[0.24977139],[1],[1.]
6,0.09754033386707306,[2.2783227],[1],[1.]
6,0.2868037521839142,[1.1021303],[1],[1.]
6,0.02789592742919922,[-3.5652902],[0],[0.]
6,0.0,[-14.945571],[0],[0.]
6,0.007862788625061512,[4.84168],[1],[1.]
6,0.03859530761837959,[3.2352648],[1],[1.]
6,5.7220458984375e-06,[-12.099631],[0],[0.]
6,0.003963295836001635,[5.528697],[1],[1.]
7,0.13601469993591309,[-1.9262137],[0],[0.]
7,0.006378223188221455,[5.051675],[1],[1.]
7,0.19126583635807037,[1.5569342],[1],[1.]
7,7.152557373046875e-05,[-9.551363],[0],[0.]
7,0.00014591217041015625,[-8.835428],[0],[0.]
7,1.33514404296875e-05,[-11.238656],[0],[0.]
7,0.0005182078457437456,[7.564875],[1],[1.]
7,0.25342199206352234,[1.2433137],[1],[1.]
8,7.724761962890625e-05,[-9.467255],[0],[0.]
8,0.16078469157218933,[1.7462199],[1],[1.]
8,0.009365935809910297,[4.6659894],[1],[1.]
8,0.09443231672048569,[2.3122842],[1],[1.]
8,0.11133626848459244,[2.1390157],[1],[1.]
8,0.03571414574980736,[3.3142982],[1],[1.]
8,0.07794883847236633,[2.512475],[1],[1.]
8,0.0,[-19.565233],[0],[0.]
9,0.0020322799682617188,[-6.1975465],[0],[0.]
9,0.167322039604187,[-1.7030078],[0],[0.]
9,0.02580352872610092,[3.6443145],[1],[1.]
9,0.0021886825561523438,[-6.1233764],[0],[0.]
9,0.0003452301025390625,[-7.971189],[0],[0.]
9,0.00068934221053496,[7.279428],[1],[1.]
9,1.3048295974731445,[0.988448],[1],[0.]
9,0.006328582763671875,[-5.0595503],[0],[0.]
10,0.01137685775756836,[-4.470497],[0],[0.]
10,2.47955322265625e-05,[-10.620426],[0],[0.]
10,0.0022953934967517853,[6.075703],[1],[1.]
10,0.0024399757385253906,[-6.014527],[0],[0.]
10,1.7665117979049683,[1.5790633],[1],[0.]
10,0.0012407302856445312,[-6.6914735],[0],[0.]
10,2.869950771331787,[2.811578],[1],[0.]
10,0.4705362319946289,[-0.50940603],[0],[0.]
11,1.9073486328125e-06,[-13.216586],[0],[0.]
11,0.04712136089801788,[3.0313756],[1],[1.]
11,0.002329351846128702,[6.0610003],[1],[1.]
11,0.026184407994151115,[3.6294703],[1],[1.]
11,0.0799880102276802,[2.4856179],[1],[1.]
11,0.01938982680439949,[3.9332962],[1],[1.]
11,0.0010008811950683594,[-6.9065995],[0],[0.]
11,6.67572021484375e-06,[-11.90865],[0],[0.]
12,9.5367431640625e-07,[-13.782985],[0],[0.]
12,0.00028297523385845125,[8.17001],[1],[1.]
12,0.008135795593261719,[-4.807437],[0],[0.]
12,0.0003361701965332031,[-7.9979987],[0],[0.]
12,0.11630096286535263,[2.09286],[1],[1.]
12,0.8135390877723694,[-0.22783466],[0],[1.]
12,0.23900270462036133,[-1.3094003],[0],[0.]
12,0.15937083959579468,[1.755778],[1],[1.]
13,0.0020470619201660156,[-6.19043],[0],[0.]
13,0.008740927092730999,[4.7353654],[1],[1.]
13,0.0009169435361400247,[6.994006],[1],[1.]
13,7.915496826171875e-05,[-9.438676],[0],[0.]
13,0.8230406641960144,[-0.2448378],[0],[1.]
13,4.510618209838867,[-4.4995656],[0],[1.]
13,0.17279838025569916,[1.6679868],[1],[1.]
13,1.33514404296875e-05,[-11.230822],[0],[0.]
14,0.026880741119384766,[-3.6028757],[0],[0.]
14,9.5367431640625e-07,[-13.76552],[0],[0.]
14,0.05505409464240074,[2.8717856],[1],[1.]
14,0.005089282989501953,[-5.2781177],[0],[0.]
14,0.04726310446858406,[3.0283008],[1],[1.]
14,0.01827946864068508,[3.9928231],[1],[1.]
14,1.621246337890625e-05,[-11.010747],[0],[0.]
14,0.0041841911152005196,[5.474349],[1],[1.]
15,0.12380778044462204,[2.0264826],[1],[1.]
15,0.0014328956604003906,[-6.5473585],[0],[0.]
15,0.1445847600698471,[1.8607261],[1],[1.]
15,4.76837158203125e-06,[-12.163691],[0],[0.]
15,0.004295825958251953,[-5.4479585],[0],[0.]
15,0.008266766555607319,[4.7913756],[1],[1.]
15,0.003305889666080475,[5.7103963],[1],[1.]
15,0.0016546249389648438,[-6.403264],[0],[0.]
16,0.057492971420288086,[-2.8272066],[0],[0.]
16,0.004460392985492945,[5.4102874],[1],[1.]
16,0.055514559149742126,[2.8632243],[1],[1.]
16,0.13060763478279114,[1.9695431],[1],[1.]
16,0.0,[-15.032694],[0],[0.]
0,1.430511474609375e-05,[-11.13297],[0],[0.]
0,0.09980130195617676,[-2.2542586],[0],[0.]
0,0.13180825114250183,[1.9597791],[1],[1.]
0,0.007683391682803631,[4.86485],[1],[1.]
0,0.11918231844902039,[2.066918],[1],[1.]
0,2.86102294921875e-06,[-12.880396],[0],[0.]
0,0.29353076219558716,[1.07542],[1],[1.]
0,0.022518577054142952,[3.7821343],[1],[1.]
1,0.008647767826914787,[4.746127],[1],[1.]
1,0.09854919463396072,[2.2675202],[1],[1.]
1,0.12839658558368683,[1.9877464],[1],[1.]
1,0.028093857690691948,[3.5581245],[1],[1.]
1,0.6250694990158081,[0.14113075],[1],[1.]
1,0.2609405517578125,[-1.2101572],[0],[0.]
1,0.4534838795661926,[0.55549955],[1],[1.]
1,0.0,[-17.829376],[0],[0.]
2,0.06951475143432617,[-2.6312568],[0],[0.]
2,0.0,[-15.202133],[0],[0.]
2,0.1296996772289276,[1.9769831],[1],[1.]
2,0.053201206028461456,[2.9069557],[1],[1.]
2,0.03297996520996094,[-3.3953204],[0],[0.]
2,0.023470643907785416,[3.7402465],[1],[1.]
2,0.04121317341923714,[3.16832],[1],[1.]
2,0.35378915071487427,[-0.85694987],[0],[0.]
3,0.05340540409088135,[2.9030218],[1],[1.]
3,0.042520999908447266,[-3.1364222],[0],[0.]
3,0.007578864227980375,[4.8786],[1],[1.]
3,0.0,[-15.112838],[0],[0.]
3,0.023501234129071236,[3.7389288],[1],[1.]
3,0.16237975656986237,[1.7355293],[1],[1.]
3,0.0053501129150390625,[-5.227942],[0],[0.]
3,1.0882704257965088,[0.6775941],[1],[0.]
4,9.5367431640625e-07,[-14.519285],[0],[0.]
4,0.0005335836904123425,[7.535628],[1],[1.]
4,0.11264944076538086,[-2.1266205],[0],[0.]
4,0.05830227583646774,[2.8128214],[1],[1.]
4,1.4747376441955566,[1.2148799],[1],[0.]
4,0.003737181192263961,[5.5875545],[1],[1.]
4,0.3644558787345886,[-0.82159334],[0],[0.]
4,8.296966552734375e-05,[-9.396582],[0],[0.]
5,0.09359109401702881,[2.3216596],[1],[1.]
5,1.3713990449905396,[1.0787022],[1],[0.]
5,6.67572021484375e-06,[-11.929504],[0],[0.]
5,0.050911419093608856,[2.9521043],[1],[1.]
5,0.15146923065185547,[-1.8106828],[0],[0.]
5,0.0007152557373046875,[-7.2423625],[0],[0.]
5,0.27455711364746094,[-1.1521785],[0],[0.]
5,0.015473069623112679,[4.1609077],[1],[1.]
6,7.62939453125e-05,[-9.476047],[0],[0.]
6,0.0010027885437011719,[-6.9045253],[0],[0.]
6,0.20992574095726013,[1.454203],[1],[1.]
6,0.007357593160122633,[4.9083414],[1],[1.]
6,0.015031821094453335,[4.1900606],[1],[1.]
6,0.006366729736328125,[-5.0534973],[0],[0.]
6,0.003250598907470703,[-5.7272177],[0],[0.]
6,0.10821029543876648,[2.1690857],[1],[1.]
7,0.0003361701965332031,[-7.9978323],[0],[0.]
7,1.33514404296875e-05,[-11.241259],[0],[0.]
7,0.0012807846069335938,[-6.6597853],[0],[0.]
7,0.038991305977106094,[3.2248576],[1],[1.]
7,0.10495591163635254,[-2.2012784],[0],[0.]
7,0.054856669157743454,[2.8754778],[1],[1.]
7,0.0058318073861300945,[5.141511],[1],[1.]
7,0.010157621465623379,[4.584448],[1],[1.]
8,0.0034282547421753407,[5.6739893],[1],[1.]
8,0.18602590262889862,[1.5874149],[1],[1.]
8,0.000459563045296818,[7.6850047],[1],[1.]
8,0.018773555755615234,[-3.9659057],[0],[0.]
8,4.100799560546875e-05,[-10.098736],[0],[0.]
8,0.03578591346740723,[-3.3122563],[0],[0.]
8,3.24249267578125e-05,[-10.346592],[0],[0.]
8,0.17173171043395996,[-1.6747276],[0],[0.]
9,8.58306884765625e-06,[-11.62286],[0],[0.]
9,0.003710987512022257,[5.594601],[1],[1.]
9,0.3533652424812317,[-0.85837287],[0],[0.]
9,0.001483917236328125,[-6.5122323],[0],[0.]
9,0.1595388650894165,[-1.7546382],[0],[0.]
9,0.008501801639795303,[4.763223],[1],[1.]
9,0.012684575282037258,[4.3610196],[1],[1.]
9,0.0018177032470703125,[-6.3092923],[0],[0.]
10,0.08143782615661621,[-2.46692],[0],[0.]
10,0.0010542869567871094,[-6.854544],[0],[0.]
10,0.0026248195208609104,[5.9414306],[1],[1.]
10,0.0004113947506994009,[7.7957516],[1],[1.]
10,0.0832531601190567,[2.4439538],[1],[1.]
10,0.000156402587890625,[-8.763355],[0],[0.]
10,0.00018596649169921875,[-8.591859],[0],[0.]
10,0.026530027389526367,[-3.616187],[0],[0.]
11,0.005030069500207901,[5.2898054],[1],[1.]
11,1.9073486328125e-06,[-13.062649],[0],[0.]
11,0.007463039364665747,[4.8940587],[1],[1.]
11,4.253833770751953,[-4.239522],[0],[1.]
11,0.014813883230090141,[4.2047744],[1],[1.]
11,0.041715286672115326,[3.1559575],[1],[1.]
11,0.0022940635681152344,[-6.076239],[0],[0.]
11,7.152557373046875e-05,[-9.538972],[0],[0.]
12,0.0049103032797575,[5.3139634],[1],[1.]
12,3.910064697265625e-05,[-10.154336],[0],[0.]
12,0.0015211105346679688,[-6.487513],[0],[0.]
12,0.007816314697265625,[-4.847609],[0],[0.]
12,0.004853026941418648,[5.325725],[1],[1.]
12,1.239776611328125e-05,[-11.30197],[0],[0.]
12,0.011158925481140614,[4.489931],[1],[1.]
12,0.028846299275755882,[3.5313158],[1],[1.]
13,0.004662972409278154,[5.36577],[1],[1.]
13,0.009096127934753895,[4.695355],[1],[1.]
13,0.204573392868042,[-1.4827989],[0],[0.]
13,0.0037170597352087498,[5.592963],[1],[1.]
13,0.0003409385681152344,[-7.9831214],[0],[0.]
13,0.009192943572998047,[-4.6847057],[0],[0.]
13,0.02147984504699707,[-3.8298757],[0],[0.]
13,0.0,[-14.9200735],[0],[0.]
14,0.06770730018615723,[-2.658516],[0],[0.]
14,0.6836517453193665,[-0.01908187],[0],[0.]
14,0.0012655258178710938,[-6.671696],[0],[0.]
14,0.017063140869140625,[-4.062295],[0],[0.]
14,0.19051897525787354,[-1.5612319],[0],[0.]
14,0.1704702377319336,[-1.6827486],[0],[0.]
14,0.19209957122802734,[-1.5521545],[0],[0.]
14,0.2555124759674072,[-1.2340088],[0],[0.]
15,0.06651095300912857,[2.6769488],[1],[1.]
15,0.0032246741466224194,[5.7353106],[1],[1.]
15,0.011935612186789513,[4.422255],[1],[1.]
15,0.04093503952026367,[-3.1752307],[0],[0.]
15,0.0,[-16.1172],[0],[0.]
15,0.06980729103088379,[-2.6269097],[0],[0.]
15,0.0005745887756347656,[-7.4615755],[0],[0.]
15,0.3664003312587738,[0.81524116],[1],[1.]
16,0.004289283882826567,[5.44949],[1],[1.]
16,0.0669689029455185,[2.6698556],[1],[1.]
16,8.487701416015625e-05,[-9.370965],[0],[0.]
16,3.719329833984375e-05,[-10.200883],[0],[0.]
16,0.05363786220550537,[2.8985612],[1],[1.]
0,0.0005734771257266402,[7.4635057],[1],[1.]
0,0.000492095947265625,[-7.616817],[0],[0.]
0,0.0024290084838867188,[-6.01906],[0],[0.]
0,0.0006704330444335938,[-7.307012],[0],[0.]
0,0.231217622756958,[-1.3465607],[0],[0.]
0,0.001995551399886608,[6.215837],[1],[1.]
0,2.86102294921875e-06,[-12.679169],[0],[0.]
0,0.012464882805943489,[4.378601],[1],[1.]
1,0.008457541465759277,[4.768465],[1],[1.]
1,3.734583616256714,[-3.7104106],[0],[1.]
1,0.005809176247566938,[5.1454105],[1],[1.]
1,0.44342294335365295,[0.5833404],[1],[1.]
1,9.5367431640625e-07,[-14.352857],[0],[0.]
1,0.3383316993713379,[0.9097976],[1],[1.]
1,8.58306884765625e-06,[-11.703085],[0],[0.]
1,0.34069767594337463,[0.9015792],[1],[1.]
2,9.822845458984375e-05,[-9.22829],[0],[0.]
2,0.00010967254638671875,[-9.118571],[0],[0.]
2,0.0008622464956715703,[7.055538],[1],[1.]
2,0.1322932243347168,[-1.9558597],[0],[0.]
2,3.814697265625e-06,[-12.5824175],[0],[0.]
2,0.03322862833738327,[3.3876832],[1],[1.]
2,0.07571898400783539,[2.542628],[1],[1.]
2,0.0024102595634758472,[6.0268154],[1],[1.]
3,7.49205137253739e-05,[9.499045],[1],[1.]
3,0.00037505803629755974,[7.8882422],[1],[1.]
3,0.0009970664978027344,[-6.910325],[0],[0.]
3,0.027803659439086914,[-3.5686557],[0],[0.]
3,0.019356250762939453,[-3.935051],[0],[0.]
3,4.38690185546875e-05,[-10.024732],[0],[0.]
3,0.008418083190917969,[-4.7731524],[0],[0.]
3,0.003730297088623047,[-5.5894127],[0],[0.]
4,0.003775632008910179,[5.577299],[1],[1.]
4,0.002162447664886713,[6.135433],[1],[1.]
4,0.0,[-15.652531],[0],[0.]
4,0.004088080953806639,[5.497635],[1],[1.]
4,0.0001544952392578125,[-8.773272],[0],[0.]
4,0.004694527015089989,[5.3590097],[1],[1.]
4,1.52587890625e-05,[-11.099663],[0],[0.]
4,0.317905992269516,[0.9828391],[1],[1.]
5,0.0006731819012202322,[7.3031583],[1],[1.]
5,4.76837158203125e-06,[-12.349134],[0],[0.]
5,0.00868082046508789,[-4.742312],[0],[0.]
5,0.0028653687331825495,[5.8536253],[1],[1.]
5,0.0001850128173828125,[-8.594473],[0],[0.]
5,0.010164814069867134,[4.5837364],[1],[1.]
5,8.678436279296875e-05,[-9.350538],[0],[0.]
5,0.021639686077833176,[3.822387],[1],[1.]
6,0.0025381885934621096,[5.975035],[1],[1.]
6,0.3282702565193176,[0.9452969],[1],[1.]
6,0.0013327626511454582,[6.619835],[1],[1.]
6,0.0010504722595214844,[-6.8582006],[0],[0.]
6,0.0,[-17.392258],[0],[0.]
6,0.037998199462890625,[-3.2511604],[0],[0.]
6,0.042701054364442825,[3.132105],[1],[1.]
6,0.061203718185424805,[-2.76279],[0],[0.]
7,0.03376483917236328,[-3.3714044],[0],[0.]
7,0.15471184253692627,[-1.7878381],[0],[0.]
7,0.003700378816574812,[5.5974693],[1],[1.]
7,0.026020288467407227,[-3.6358428],[0],[0.]
7,0.0005297038005664945,[7.5429277],[1],[1.]
7,6.771087646484375e-05,[-9.593842],[0],[0.]
7,0.0033211708068847656,[-5.7057633],[0],[0.]
7,0.20532679557800293,[-1.4787328],[0],[0.]
8,0.013796329498291016,[-4.2764506],[0],[0.]
8,0.0030670948326587677,[5.7854905],[1],[1.]
8,0.004640526138246059,[5.3706064],[1],[1.]
8,0.001234141644090414,[6.6967626],[1],[1.]
8,1.378403902053833,[1.0880778],[1],[0.]
8,0.0001506805419921875,[-8.802954],[0],[0.]
8,0.0,[-14.69856],[0],[0.]
8,0.06090044975280762,[-2.76791],[0],[0.]
9,0.0,[-24.249264],[0],[0.]
9,0.017572402954101562,[-4.0326242],[0],[0.]
9,0.036917317658662796,[3.280559],[1],[1.]
9,0.10820300877094269,[2.1691568],[1],[1.]
9,0.001738025457598269,[6.3541365],[1],[1.]
9,0.002651271875947714,[5.93139],[1],[1.]
9,0.00923013687133789,[-4.6806564],[0],[0.]
9,0.0006696255877614021,[7.308457],[1],[1.]
10,0.04851412773132324,[-3.0015428],[0],[0.]
10,1.049041748046875e-05,[-11.493848],[0],[0.]
